ID,Nombre,Apellido,Telefono,DNI,Direccion,Categoria,PuntosLealtad
912,Fernando,Rojas,923456781,74561238,Av. Puno 123,Regular,80
87,Lucia,Huaman,913457821,82349175,Jr. Tarapaca 456,VIP,150
334,Diego,Carrillo,943567812,51234987,Av. Libertad 789,Premium,260
512,Laura,Salazar,987654111,70451238,Calle Norte 321,Regular,40
278,Andres,Vilca,901234567,61345729,Jr. Lima 852,VIP,120
953,Valeria,Escobar,945612378,78456123,Av. Sur 963,Premium,310
129,Julio,Montoya,912345678,73451289,Calle Central 147,Regular,25
477,Patricia,Aguilar,954321879,84235179,Av. Este 258,VIP,180
698,Hector,Mejia,967812345,75123489,Jr. Piura 369,Regular,10
349,Daniela,Bravo,923478912,89456127,Av. Arequipa 111,Premium,400
941,Oscar,Quispe,987320145,61423587,Calle Bolognesi 644,Regular,90
222,Diana,Valverde,976543218,74562813,Jr. Cuzco 555,VIP,160
588,Martin,Soto,902345671,58462137,Av. Grau 432,Regular,5
311,Rosa,Campos,978120345,70349125,Av. La Paz 901,Premium,210
728,Javier,Reyes,965432781,85471329,Calle Luna 323,VIP,170
456,Gloria,Suarez,943218765,73451207,Jr. Callao 112,Regular,60
389,Esteban,Palacios,987654899,80561243,Av. Progreso 778,VIP,190
915,Melanie,Torres,934512789,72461385,Av. Primavera 222,Premium,280
65,Alfredo,Miranda,954789123,64358921,Calle Olivos 707,Regular,33
774,Karina,Peralta,923498712,87423195,Av. San Juan 444,VIP,145
203,Rodrigo,Benitez,912398745,74856320,Av. Los Alamos 623,Regular,50
689,Sandra,Morales,900123456,53147862,Calle Sur 512,Premium,230
98,Victor,Ramirez,967854231,70453182,Jr. Amazonas 300,Regular,70
552,Cecilia,Cuadros,955321478,65413782,Av. Colonial 687,VIP,175
347,Renato,Flores,990123458,71325486,Calle Oro 742,Premium,260
910,Marisol,Vargas,987410325,61325487,Av. Los Incas 369,Regular,20
143,Alex,Grimaldo,923498756,82345761,Jr. Loreto 953,VIP,100
831,Tania,Poma,964312578,70481523,Av. Pescadores 124,Regular,88
59,Samuel,Ccori,976541233,61234795,Jr. Tacna 352,Premium,330
483,Nicole,Bazan,955667832,76543182,Av. Zarumilla 648,VIP,160
922,Gabriel,Loayza,934567890,84351729,Calle Triunfo 218,Regular,15
375,Johanna,Matos,978451200,61437852,Av. Pardo 336,Premium,270
816,Marco,Perez,901278534,53247861,Jr. Olaya 744,Regular,55
104,Claudia,Galvez,912347856,73481256,Av. Salaverry 523,VIP,130
601,Ignacio,Rivera,970123478,84561327,Calle Arica 999,Regular,45
219,Yesenia,Luna,998743210,71328945,Jr. Ilo 488,Premium,310
742,Pablo,Castillo,944123780,65412389,Av. Costanera 263,Regular,65
998,Dolores,Cruz,955531200,72345196,Jr. Misti 157,VIP,180
324,Fabian,Cornejo,933210987,80123467,Av. Lima 306,Regular,0
456,Gustavo,Chavez,912310987,78315426,Calle Azul 89,Premium,250
311,Natalia,Fuentes,984512379,65471236,Av. Tomas Valle 711,Regular,35
90,Kevin,Sanchez,943267899,70412358,Jr. Surco 202,VIP,140
567,Aurora,Paredes,933214578,73251864,Av. Las Flores 555,Premium,290
432,Gerardo,Lopez,955123467,80415632,Calle Roma 619,Regular,10
287,Evelyn,Delgado,901234765,74562318,Av. España 404,VIP,100
915,Bruno,Espinoza,945678213,62375419,Jr. Olmos 301,Regular,70
634,Lizeth,Tapia,934512087,80341567,Av. San Martin 912,Premium,210
377,Emilio,Serrano,922145678,71542863,Calle Norte 561,VIP,190
159,Mariela,Quintana,955098721,68423157,Jr. Tumbes 210,Regular,50

