DNI,Nombre,Apellido,Telefono,Fecha,Hora,NumPersonas,NumMesa,Categoria,PuntosLealtad
12345678,Juan,Perez,987654321,28/11/2025,19:00,4,5,Premium,250
87654321,Maria,Garcia,912345678,28/11/2025,20:00,2,3,VIP,150
45678912,Carlos,Lopez,998877665,28/11/2025,19:30,6,12,Regular,50
32165498,Ana,Martinez,956789123,29/11/2025,18:00,8,15,Premium,300
78945612,Pedro,Sanchez,923456789,29/11/2025,20:30,4,21,VIP,180
65432178,Laura,Fernandez,934567890,29/11/2025,19:00,3,8,Regular,80
98765432,Sofia,Rodriguez,945678901,30/11/2025,19:30,5,10,Premium,220
15935748,Diego,Torres,967890123,30/11/2025,18:00,2,16,VIP,120
25874136,Lucia,Ramirez,978901234,30/11/2025,21:00,4,20,Regular,60
36985214,Miguel,Flores,989012345,01/12/2025,19:00,6,13,Premium,280
